Link,Item,Qty,Price,Ext Price,
https://www.adafruit.com/product/3400,Raspberry Pi Zero W,1,10,10,
https://www.adafruit.com/product/3099,Raspberry Pi Camera,0,29.95,0,
https://www.adafruit.com/product/3297,DRV8833,1,4.95,4.95,
https://www.adafruit.com/product/1781,2200 mAh LiPo,1,9.95,9.95,
https://www.adafruit.com/product/3777,TT Motor,2,2.95,5.9,
https://www.adafruit.com/product/2465,PowerBoost 1000,0,19.95,0,
https://www.addicore.com/MT3608-Boost-Converter-p/ad300.htm,MT3608,1,1.95,1.95,
https://www.amazon.com/XCSOURCE-Lithium-Battery-Charger-TE420/dp/B01DRT4PWY/ref=sr_1_3?gclid=EAIaIQobChMI872XtLL55AIVzeDICh1D6gLZEAAYASAAEgKvmvD_BwE&hvadid=252725604196&hvdev=c&hvlocphy=9004405&hvnetw=g&hvpos=1t1&hvqmt=e&hvrand=7973765980742534503&hvtargid=kwd-306287038772&hydadcr=19108_9441150&keywords=tp4056+usb+charger&qid=1569875621&s=gateway&sr=8-3,TP4056,1,1.398,1.398,
https://www.adafruit.com/product/805,SPDT Switch,1,0.95,0.95,
https://www.adafruit.com/product/1390,USB Micro B Male Plug,1,0.95,0.95,
https://www.adafruit.com/product/1829,USB Micro B Female Plug,1,0.95,0.95,
https://www.amazon.com/Sandisk-Ultra-Micro-UHS-I-Adapter/dp/B073K14CVB/ref=sr_1_3?keywords=micro+sd+8gb&qid=1569876363&s=gateway&sr=8-3,16GB SD Card,1,5.79,5.79,
,,,,,
,,,,42.788,Total
